epoch,size_bin,recall_at_05,median_iou,fp_above_tp_median,median_tp_conf,gt_count,tp_count,fp_count
48,0-8,0.5465,0.6441,0.0631,0.1824,6382,3488,23075
48,8-16,0.744,0.7213,0.033,0.3057,10958,8153,49785
48,16-32,0.8234,0.8013,0.0176,0.4941,13434,11061,40737
48,32-64,0.9113,0.8986,0.0095,0.8364,6098,5557,10287
48,64-128,0.9386,0.9423,0.0103,0.9111,1743,1636,2431
48,128-9999,0.9514,0.9545,0.0062,0.9248,144,137,325
49,0-8,0.5451,0.6456,0.0625,0.1859,6382,3479,23291
49,8-16,0.7453,0.72,0.0331,0.3057,10958,8167,49464
49,16-32,0.8248,0.8013,0.0178,0.4961,13434,11081,40806
49,32-64,0.9136,0.8978,0.0095,0.8364,6098,5571,10469
49,64-128,0.9392,0.9417,0.009,0.9106,1743,1637,2433
49,128-9999,0.9514,0.9551,0.0093,0.9248,144,137,322
