epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,13311.5,1.67192,1.4059,0.00169,0.54395,0.44703,0.46695,0.28967,1.56204,1.38249,0.00245,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13617.9,1.66072,1.38415,0.00168,0.55302,0.44853,0.46798,0.28992,1.56152,1.38255,0.00245,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13932.6,1.6655,1.38086,0.00166,0.54918,0.45236,0.46744,0.28929,1.56548,1.37988,0.00246,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14234.3,1.65464,1.36891,0.00167,0.53818,0.44973,0.46602,0.29033,1.56382,1.37397,0.00245,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14534.8,1.65915,1.37789,0.00166,0.54526,0.45548,0.46926,0.29175,1.56053,1.37379,0.00245,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14835.5,1.65868,1.36928,0.00165,0.54467,0.45641,0.46689,0.29104,1.56047,1.37544,0.00245,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15134.1,1.65368,1.36868,0.00166,0.55472,0.45949,0.47417,0.29484,1.5631,1.36258,0.00245,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15434.4,1.65909,1.36197,0.00166,0.55296,0.45698,0.47766,0.29653,1.5645,1.35836,0.00244,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15734.9,1.65119,1.35274,0.00165,0.54381,0.46147,0.47208,0.29253,1.56502,1.36538,0.00244,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16037.8,1.64889,1.3567,0.00165,0.55006,0.45798,0.4776,0.29472,1.56242,1.35503,0.00245,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,313.654,1.64318,1.34575,0.00165,0.55691,0.4606,0.47604,0.29645,1.55609,1.34673,0.00243,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,603.455,1.64003,1.33725,0.00165,0.55931,0.45834,0.47799,0.29745,1.55529,1.35299,0.00243,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,898.951,1.65004,1.34322,0.00165,0.55969,0.45554,0.47701,0.29603,1.55589,1.34894,0.00244,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1195.66,1.63969,1.3291,0.00164,0.55816,0.45549,0.47699,0.29612,1.55896,1.35036,0.00244,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1491.82,1.63214,1.3222,0.00165,0.56253,0.46421,0.47866,0.2982,1.55686,1.34843,0.00243,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1791.15,1.62405,1.31781,0.00165,0.55678,0.45607,0.47478,0.29584,1.55788,1.35001,0.00244,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2087.82,1.62336,1.31801,0.00164,0.55687,0.46554,0.48072,0.29855,1.55303,1.35205,0.00242,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2380.56,1.62104,1.30763,0.00163,0.558,0.46751,0.48296,0.29904,1.55523,1.34211,0.00243,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2682.62,1.6406,1.31365,0.00162,0.55351,0.46457,0.48116,0.29742,1.56048,1.34181,0.00244,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2984.25,1.62883,1.30969,0.00162,0.55941,0.4622,0.4832,0.30064,1.55898,1.33306,0.00244,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
